Equipo 1 - id;Equipo 1 - nombre;Equipo 1 - descripcion;Equipo 1 - cantidad goles;Equipo 2 - cantidad goles;Equipo 2 - id;Equipo 2 - nombre;Equipo 2 - descripcion
1;Argentina;Seleccionado;1;2;2;Arabia Saudita;Seleccionado
3;Polonia;Seleccionado;0;0;4;México;Seleccionado
